2019-03-20 16:19:02,889 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2019-03-20 16:19:02,896 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 16:19:02,898 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ramandeep.singh.nagi\git\MyProjects\MyProjects\src\test\resources
2019-03-20 16:19:14,651 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 16:19:14,658 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2019-03-20 16:19:14,664 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 16:19:14,666 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ramandeep.singh.nagi\git\MyProjects\MyProjects\src\test\resources
2019-03-20 17:06:49,285 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/io/github/bonigarcia/webdrivermanager/3.3.0/webdrivermanager-3.3.0-sources.jar
2019-03-20 17:06:49,732 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/io/github/bonigarcia/webdrivermanager/3.3.0/webdrivermanager-3.3.0-sources.jar
2019-03-20 17:06:50,006 [Worker-33] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for io.github.bonigarcia:webdrivermanager:3.3.0
2019-03-20 17:06:50,580 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 17:06:50,582 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-20 17:06:50,586 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 17:06:50,587 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ramandeep.singh.nagi\git\MyProjects\MyProjects\src\test\resources
